SP_ENTITY_ID,SP_COMPANY_NAME,SP_TICKER,fiscal_year,iq_cash_equiv,iq_cash_oper,iq_ebit,iq_ebitda,iq_interest_exp,iq_lt_debt,iq_st_debt,iq_total_assets,iq_total_rev,pcd_total_liab,total_debt,interest_coverage,leverage,roa,ocf_to_debt,leverage_w,interest_coverage_w,roa_w,ocf_to_debt_w,distress,distress_lag1,distress_2y,default_t_plus_1
103697,GATX Corporation,GATX,2020,292200.0,428300.0,285500.0,627700.0,-191800.0,5329000.0,23600.0,8937600.0,1209200.0,,5352600.0,,0.5988856068743287,0.031943698532044394,0.0800171879086799,0.5988856068743287,,0.031943698532044394,0.0800171879086799,0,,0,0.0
103697,GATX Corporation,GATX,2021,344300.0,507200.0,292200.0,670600.0,-204700.0,5887500.0,18100.0,9541700.0,1257400.0,,5905600.0,,0.6189253487324061,0.030623473804458325,0.08588458412354376,0.6189253487324061,,0.030623473804458325,0.08588458412354376,0,0.0,0,0.0
103697,GATX Corporation,GATX,2022,303700.0,533500.0,330100.0,701400.0,-220400.0,6431500.0,17300.0,10072000.0,1273000.0,,6448800.0,,0.6402700555996823,0.032774027005559966,0.08272856965637018,0.6402700555996823,,0.032774027005559966,0.08272856965637018,0,0.0,0,0.0
103697,GATX Corporation,GATX,2023,450700.0,520400.0,390500.0,782600.0,-278600.0,7388100.0,11000.0,11326000.0,1410900.0,,7399100.0,,0.6532844781917712,0.034478191771146034,0.07033287832303929,0.6532844781917712,,0.034478191771146034,0.07033287832303929,0,0.0,0,0.0
103697,GATX Corporation,GATX,2024,401600.0,602100.0,477700.0,899100.0,-365300.0,8215300.0,10400.0,12296500.0,1585500.0,,8225700.0,,0.6689464481763103,0.03884845281177571,0.07319741784893687,0.6689464481763103,,0.03884845281177571,0.07319741784893687,0,0.0,0,
103699,Pitney Bowes Inc.,PBI,2020,921450.0,301972.0,149416.0,310041.0,-105753.0,2350524.0,,5224363.0,3554075.0,,,,,0.028599850354961934,,,,0.028599850354961934,,0,,0,0.0
103699,Pitney Bowes Inc.,PBI,2021,732480.0,301515.0,150048.0,312907.0,-96886.0,2299099.0,,4958871.0,3673561.0,,,,,0.030258500372362985,,,,0.030258500372362985,,0,0.0,0,0.0
103699,Pitney Bowes Inc.,PBI,2022,669981.0,175039.0,276095.0,387261.0,-87306.0,2172502.0,,4741355.0,2482883.0,,,,,0.0582312440220148,,,,0.0582312440220148,,0,0.0,0,0.0
103699,Pitney Bowes Inc.,PBI,2023,600054.0,80091.0,227771.0,340495.0,-98769.0,2087101.0,,4272185.0,2078925.0,,,,,0.05331487283439271,,,,0.05331487283439271,,0,0.0,0,0.0
103699,Pitney Bowes Inc.,PBI,2024,469726.0,229170.0,223405.0,337890.0,-110094.0,1866458.0,,3397516.0,2026598.0,,,,,0.0657553930577516,,,,0.0657553930577516,,0,0.0,0,
105135,3M Company,MMM,2020,4634000.0,8113000.0,7156000.0,9067000.0,-529000.0,17989000.0,12000.0,47344000.0,32184000.0,,18001000.0,,0.3802171341669483,0.15114903683676917,0.45069718348980614,0.3802171341669483,,0.15114903683676917,0.45069718348980614,0,,0,0.0
105135,3M Company,MMM,2021,4564000.0,7454000.0,7754000.0,9669000.0,-488000.0,16056000.0,16000.0,47072000.0,35355000.0,,16072000.0,,0.34143439836845685,0.16472637661454792,0.46378795420607266,0.34143439836845685,,0.16472637661454792,0.46378795420607266,0,0.0,0,0.0
105135,3M Company,MMM,2022,3655000.0,5591000.0,3449000.0,4703000.0,-462000.0,14103000.0,,46455000.0,26161000.0,,,,,0.07424389193843504,,,,0.07424389193843504,,0,0.0,0,0.0
105135,3M Company,MMM,2023,5735000.0,6680000.0,4281000.0,5710000.0,-941000.0,13088000.0,1795000.0,50580000.0,24610000.0,,14883000.0,,0.2942467378410439,0.08463819691577698,0.44883424040851977,0.2942467378410439,,0.08463819691577698,0.44883424040851977,0,0.0,0,0.0
105135,3M Company,MMM,2024,5600000.0,1819000.0,4181000.0,5361000.0,-1191000.0,11125000.0,,39868000.0,24575000.0,,,,,0.10487107454600181,,,,0.10487107454600181,,0,0.0,0,
105364,"Ryder System, Inc.",R,2020,151294.0,2180000.0,186000.0,1730000.0,-261000.0,6058519.0,503299.0,12931954.0,8420000.0,,6561818.0,,0.5074111769961446,0.014382977236077394,0.332225002278332,0.5074111769961446,,0.014382977236077394,0.332225002278332,0,,0,0.0
105364,"Ryder System, Inc.",R,2021,234000.0,2176000.0,594000.0,2388000.0,-214000.0,5216000.0,1320000.0,13835000.0,9663000.0,,6536000.0,,0.472425009035056,0.0429345861944344,0.3329253365973072,0.472425009035056,,0.0429345861944344,0.3329253365973072,0,0.0,0,0.0
105364,"Ryder System, Inc.",R,2022,267000.0,2310000.0,964000.0,2689000.0,-228000.0,4974000.0,1336000.0,14395000.0,12011000.0,,6310000.0,,0.43834664814171587,0.06696769711705454,0.36608557844690964,0.43834664814171587,,0.06696769711705454,0.36608557844690964,0,0.0,0,0.0
