SP_ENTITY_ID,SP_COMPANY_NAME,SP_TICKER,fiscal_year,iq_cash_equiv,iq_cash_oper,iq_ebit,iq_ebitda,iq_interest_exp,iq_lt_debt,iq_st_debt,iq_total_assets,iq_total_rev,pcd_total_liab
103697,GATX Corporation,GATX,2020,292200,428300,285500,627700,-191800,5329000,23600,8937600,1209200,
103697,GATX Corporation,GATX,2021,344300,507200,292200,670600,-204700,5887500,18100,9541700,1257400,
103697,GATX Corporation,GATX,2022,303700,533500,330100,701400,-220400,6431500,17300,10072000,1273000,
103697,GATX Corporation,GATX,2023,450700,520400,390500,782600,-278600,7388100,11000,11326000,1410900,
103697,GATX Corporation,GATX,2024,401600,602100,477700,899100,-365300,8215300,10400,12296500,1585500,
103699,Pitney Bowes Inc.,PBI,2020,921450,301972,149416,310041,-105753,2350524,,5224363,3554075,
103699,Pitney Bowes Inc.,PBI,2021,732480,301515,150048,312907,-96886,2299099,,4958871,3673561,
103699,Pitney Bowes Inc.,PBI,2022,669981,175039,276095,387261,-87306,2172502,,4741355,2482883,
103699,Pitney Bowes Inc.,PBI,2023,600054,80091,227771,340495,-98769,2087101,,4272185,2078925,
103699,Pitney Bowes Inc.,PBI,2024,469726,229170,223405,337890,-110094,1866458,,3397516,2026598,
105135,3M Company,MMM,2020,4634000,8113000,7156000,9067000,-529000,17989000,12000,47344000,32184000,
105135,3M Company,MMM,2021,4564000,7454000,7754000,9669000,-488000,16056000,16000,47072000,35355000,
105135,3M Company,MMM,2022,3655000,5591000,3449000,4703000,-462000,14103000,,46455000,26161000,
105135,3M Company,MMM,2023,5735000,6680000,4281000,5710000,-941000,13088000,1795000,50580000,24610000,
105135,3M Company,MMM,2024,5600000,1819000,4181000,5361000,-1191000,11125000,,39868000,24575000,
105364,"Ryder System, Inc.",R,2020,151294,2180000,186000,1730000,-261000,6058519,503299,12931954,8420000,
105364,"Ryder System, Inc.",R,2021,234000,2176000,594000,2388000,-214000,5216000,1320000,13835000,9663000,
105364,"Ryder System, Inc.",R,2022,267000,2310000,964000,2689000,-228000,4974000,1336000,14395000,12011000,
105364,"Ryder System, Inc.",R,2023,204000,2353000,873000,2578000,-296000,5498000,1567000,15778000,11783000,
105364,"Ryder System, Inc.",R,2024,154000,2264000,954000,2699000,-386000,6605000,1098000,16672000,12636000,
107257,Willis Lease Finance Corporation,WLFC,2020,42540,93444,103025,197566,-63024,1693753,,2364948,288771,
107257,Willis Lease Finance Corporation,WLFC,2021,14329,90658,60228,150732,-67985,1790264,,2462927,250390,
107257,Willis Lease Finance Corporation,WLFC,2022,12146,144424,85194,173454,-66743,1847278,,2575217,301232,
107257,Willis Lease Finance Corporation,WLFC,2023,7071,229737,140394,231319,-78795,1802881,,2652344,409834,
107257,Willis Lease Finance Corporation,WLFC,2024,9110,284406,251707,346916,-104764,2193862,,3297196,557540,
113873,Ford Motor Company,F,2020,10894000,24269000,-4115000,3197000,-1651000,22265000,613000,267261000,127144000,
113873,Ford Motor Company,F,2021,9577000,15787000,6717000,12677000,-1803000,16711000,286000,257035000,136341000,
113873,Ford Motor Company,F,2022,14741000,6853000,8080000,14573000,-1282000,18712000,359000,255884000,158057000,
113873,Ford Motor Company,F,2023,14204000,14918000,5393000,11916000,-1318000,18861000,362000,273310000,176191000,
113873,Ford Motor Company,F,2024,13663000,15423000,5200000,11067000,-1136000,18187000,632000,285196000,184992000,
114008,"CBIZ, Inc.",CBZ,2020,4652,146845,92480,115619,-4983,109744,,1513754,963897,
114008,"CBIZ, Inc.",CBZ,2021,1997,131154,103140,130218,-3868,155347,,1627934,1104925,
114008,"CBIZ, Inc.",CBZ,2022,4697,126132,168344,201239,-8039,263654,,1879124,1411979,
114008,"CBIZ, Inc.",CBZ,2023,8090,153507,169039,205308,-20131,312018,,2043592,1591194,
114008,"CBIZ, Inc.",CBZ,2024,13826,123692,122416,170476,-34379,1334192,,4470883,1813472,
114523,Caterpillar Inc.,CAT,2020,8822000,6327000,4835000,7267000,-514000,9646000,10000,78324000,41748000,
114523,Caterpillar Inc.,CAT,2021,8428000,7198000,8274000,10626000,-488000,9667000,9000,82793000,50971000,
114523,Caterpillar Inc.,CAT,2022,6042000,7766000,9756000,11975000,-443000,9442000,3000,81943000,59427000,
114523,Caterpillar Inc.,CAT,2023,6106000,12885000,13668000,15812000,-511000,8507000,,87476000,67060000,
114523,Caterpillar Inc.,CAT,2024,6165000,12035000,13563000,15646000,-512000,8497000,,87764000,64809000,
114526,Deere & Company,DE,2020,6145000,7483000,4548000,6533000,-305000,10085000,218000,75091000,35514000,
114526,Deere & Company,DE,2021,7188000,7726000,7926000,9855000,-306000,8877000,1496000,84114000,43983000,
114526,Deere & Company,DE,2022,3767000,4699000,9763000,11541000,-263000,7887000,1019000,90030000,52563000,
114526,Deere & Company,DE,2023,5720000,8589000,13394000,15254000,-91000,7161000,1205000,104087000,61222000,
114526,Deere & Company,DE,2024,5615000,9231000,9411000,11349000,-166000,6531000,880000,107320000,51532000,
114526,Deere & Company,DE,2025,6340000,7459000,6612000,8614000,-247000,8683000,376000,105996000,45628000,
114527,General Electric Company,GE,2020,36530000,3568000,-632000,2832000,-2068000,39869000,1457000,256211000,75833000,
114527,General Electric Company,GE,2021,15770000,3481000,-70000,2290000,-1790000,17550000,97000,198874000,56469000,
114527,General Electric Company,GE,2022,15810000,5917000,3981000,5165000,-1339000,20320000,114000,188851000,29139000,
114527,General Electric Company,GE,2023,15204000,5189000,6245000,7424000,-1029000,19417000,37000,173300000,35348000,
114527,General Electric Company,GE,2024,13219000,4710000,7757000,8941000,-986000,17234000,,123140000,38702000,
1031123,"Hawaiian Electric Industries, Inc.",HE,2020,341421,429407,308283,599061,-90584,2119129,219049,15004007,2579775,
1031123,"Hawaiian Electric Industries, Inc.",HE,2021,305551,375673,391914,670616,-96253,2410242,53998,15822637,2850379,
1031123,"Hawaiian Electric Industries, Inc.",HE,2022,199877,454476,283243,553648,-105292,3080100,172568,16284244,3420917,
1031123,"Hawaiian Electric Industries, Inc.",HE,2023,244091,551471,279006,561312,-127422,2825933,,17243821,3287503,
1031123,"Hawaiian Electric Industries, Inc.",HE,2024,750535,487481,206994,500527,-129097,2690387,48623,8931416,3219850,
1031164,"Automatic Data Processing, Inc.",ADP,2020,1908500,3026200,3216200,3696200,-107100,1002800,13600,39165500,14589800,
1031164,"Automatic Data Processing, Inc.",ADP,2021,2575200,3093300,3383200,3893900,-59700,2985000,23500,48772500,15005400,
1031164,"Automatic Data Processing, Inc.",ADP,2022,1436300,3099500,3864900,4380000,-81900,2987100,136400,63068200,16498300,
1031164,"Automatic Data Processing, Inc.",ADP,2023,2083500,4207600,4558200,5107500,-253300,2989000,105400,50971000,18012200,
1031164,"Automatic Data Processing, Inc.",ADP,2024,2913400,4157600,4977200,5539100,-361400,2991300,385400,54362700,19202600,
1031164,"Automatic Data Processing, Inc.",ADP,2025,3347800,4939700,5442800,6025200,-455900,3974700,4807900,53369300,20560900,
3001622,Avery Dennison Corporation,AVY,2020,252300,751300,873600,1049900,-70000,2065900,59100,6083900,6971500,
3001622,Avery Dennison Corporation,AVY,2021,162700,1046800,1047800,1261800,-70200,2784500,313300,7971600,8408300,
3001622,Avery Dennison Corporation,AVY,2022,167200,961000,1088200,1349400,-84100,2495300,343500,7950500,9039300,
3001622,Avery Dennison Corporation,AVY,2023,215000,826000,966000,1236500,-119000,2615100,316300,8209800,8364300,
3001622,Avery Dennison Corporation,AVY,2024,329100,938800,1141500,1420600,-117000,2550800,36900,8404200,8755700,
3001792,"Amazon.com, Inc.",AMZN,2020,42122000,66064000,22899000,48079000,-1647000,35216000,725000,321195000,386064000,
3001792,"Amazon.com, Inc.",AMZN,2021,36220000,46327000,24879000,59312000,-1809000,54944000,1043000,420549000,469822000,
3001792,"Amazon.com, Inc.",AMZN,2022,53888000,46752000,13348000,55269000,-2367000,73850000,8000000,462675000,513983000,
3001792,"Amazon.com, Inc.",AMZN,2023,73387000,84946000,36852000,85515000,-3182000,64914000,147000,527854000,574785000,
3001792,"Amazon.com, Inc.",AMZN,2024,78779000,115877000,68593000,120468000,-2406000,59723000,151000,624894000,637959000,
3002287,Textron Inc.,TXT,2020,2146000,768000,629000,1020000,-145000,3198000,,15443000,11651000,
3002287,Textron Inc.,TXT,2021,1922000,1598000,1005000,1395000,-124000,3179000,,15827000,12382000,
3002287,Textron Inc.,TXT,2022,1963000,1488000,1112000,1509000,-94000,3175000,,16293000,12869000,
3002287,Textron Inc.,TXT,2023,2121000,1266000,1276000,1671000,-62000,3146000,,16856000,13683000,
3002287,Textron Inc.,TXT,2024,1386000,1014000,1137000,1519000,-78000,2793000,,16838000,13702000,
3002455,Levi Strauss & Co.,LEVI,2020,1497155,469600,71200,213000,-82200,1546700,17631,5641241,4452600,
3002455,Levi Strauss & Co.,LEVI,2021,810300,737300,686200,829400,-72900,1020700,5900,5900100,5763900,
3002455,Levi Strauss & Co.,LEVI,2022,429600,228100,667200,826100,-25700,984500,11700,6037800,6168600,
3002455,Levi Strauss & Co.,LEVI,2023,398800,435500,554800,719700,-45900,1009400,12500,6053600,6179000,
3002455,Levi Strauss & Co.,LEVI,2024,690000,898400,653500,846400,-41800,994000,5500,6375500,6355300,
3002572,Unit Corporation,UNTC,2020,12145,74763,-112953,32517,-28525,98400,,649703,410485,
3002572,Unit Corporation,UNTC,2021,64140,175969,76279,140605,-4266,19200,,629477,638716,
3002572,Unit Corporation,UNTC,2022,213975,159421,172003,197944,-447,,,469255,545525,
3002572,Unit Corporation,UNTC,2023,60779,150162,126193,145797,-164,,,322720,327293,
3002572,Unit Corporation,UNTC,2024,48884,75216,55928,72374,-55,,,289243,237612,
3005566,Walmart Inc.,WMT,2020,9465000,25255000,21468000,32455000,-2599000,44410000,575000,236495000,523964000,
3005566,Walmart Inc.,WMT,2021,17741000,36074000,22548000,33700000,-2315000,41588000,224000,252496000,559151000,
3005566,Walmart Inc.,WMT,2022,14760000,24181000,25942000,36600000,-1994000,35959000,410000,244860000,572754000,
3005566,Walmart Inc.,WMT,2023,8625000,28841000,24528000,35473000,-2128000,36761000,372000,243197000,611289000,
3005566,Walmart Inc.,WMT,2024,9867000,35726000,27012000,38865000,-2683000,38088000,878000,252399000,648125000,
3005566,Walmart Inc.,WMT,2025,9037000,36443000,29249000,42222000,-2728000,35400000,3068000,260823000,680985000,
3005684,"TPI Composites, Inc.",TPIC.Q,2020,129857,37570,-49722,-55,-10377,182359,,956257,1143054,
3005684,"TPI Composites, Inc.",TPIC.Q,2021,216236,-25525,-66847,-14254,-13644,5819,,1007701,1472386,
3005684,"TPI Composites, Inc.",TPIC.Q,2022,133546,-62272,23192,68672,-5020,1,,962176,1478739,
